hotel_name,hotel_url,review_date,review_item_user_review_count,review_score_badge,review_item_header_content,review_info_tag,review_staydate,review_sentence,review_label,review_traveler_type,review_time_of_travel,review_topic_annotated
Adelphi Hotel,adelphi.en-gb,18 March 2020,8 reviews,9.0,Amazing stay in Saratoga,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",March 2020,Valet was not the friendliest person working for the property,0,Couple,Spring,1
Adelphi Hotel,adelphi.en-gb,17 February 2020,25 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 2 nights']",February 2020,Wish there was free parking and a parking lot for your car,0,Couple,Winter,3
Adelphi Hotel,adelphi.en-gb,11 February 2020,8 reviews,10.0,Immaculate comfortable charming and welcoming,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night']",December 2019,Parking was a bit of a hassle,0,Family with young children,Winter,3
Adelphi Hotel,adelphi.en-gb,11 February 2020,8 reviews,10.0,Immaculate comfortable charming and welcoming,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night']",December 2019,Valet,0,Family with young children,Winter,3
Adelphi Hotel,adelphi.en-gb,30 October 2019,20 reviews,9.2,Superb,"['Leisure trip', 'People with friends', 'Premier Double Room', 'Stayed 1 night', 'Submitted via mobile']",October 2019,A bit pricey,0,People with friends,Fall,-1
Adelphi Hotel,adelphi.en-gb,24 October 2019,4 reviews,8.8,Fabulous,"['Leisure trip', 'Solo traveller', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",October 2019,Staff is not really nice,0,Solo traveler,Fall,1
Adelphi Hotel,adelphi.en-gb,21 October 2019,14 reviews,10.0,Gorgeous Boutique Hotel,"['Leisure trip', 'Couple', 'Premier Broadway King', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Na,0,Couple,Fall,-1
Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,The view was definitely lacking but I wasnt too upset about that,0,Couple,Fall,6
Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,My breakfast wasnt great to be honest,0,Couple,Fall,2
Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,I ordered the Adelphi omelet and it had a weird taste to it that didnt sit well on my stomach,0,Couple,Fall,2
Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,I wasnt able to finish it,0,Couple,Fall,-1
Adelphi Hotel,adelphi.en-gb,27 August 2019,1 review,9.6,Pleasant,"['Leisure trip', 'Family with young children', 'Premier Suite', 'Stayed 1 night', 'Submitted via mobile']",August 2019,Na,0,Family with young children,Summer,-1
Adelphi Hotel,adelphi.en-gb,23 July 2019,1 review,10.0,I loved it and will stay here whenever I’m in town,"['Business trip', 'Solo traveller', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Food was kind of average,0,Solo traveler,Summer,2
Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Drapes didnt work,0,Family with young children,Summer,6
Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Snacks differ from room to suites ,0,Family with young children,Summer,6
Adelphi Hotel,adelphi.en-gb,7 July 2019,3 reviews,9.6,Exceptional,"['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",July 2019,Pillows too soft,0,Family with young children,Summer,7
Adelphi Hotel,adelphi.en-gb,4 July 2019,5 reviews,10.0,A hidden gem in Saratoga Springs New York,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",June 2019,Nothing,0,Couple,Summer,-1
Adelphi Hotel,adelphi.en-gb,23 May 2019,2 reviews,10.0,Beyond delighted from New Jersey,"['Leisure trip', 'Family with young children', 'Premier Broadway King', 'Stayed 1 night']",May 2019,Would have appreciated a broader sundries selection inhouse as the town closes down fairly early,0,Family with young children,Spring,-1
Miami Motel,miami-motel.en-gb,6 June 2020,4 reviews,10.0,Had a lovely brief stay at the Miami Motel,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night', 'Submitted via mobile']",June 2020,This facility is not CAT friendly only dog,0,Couple,Summer,3
Miami Motel,miami-motel.en-gb,6 June 2020,4 reviews,10.0,Had a lovely brief stay at the Miami Motel,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night', 'Submitted via mobile']",June 2020,Bookingcom should make that an option for hotels so they can advertise more specifically than pet friendly,0,Couple,Summer,3
Miami Motel,miami-motel.en-gb,30 April 2020,1 review,10.0,Exceptional,"['Leisure trip', 'Couple', 'Queen Room', 'Stayed 1 night', 'Submitted via mobile']",April 2020,If coffee was provided that would of been better but other than that nothing,0,Couple,Spring,6
Miami Motel,miami-motel.en-gb,28 October 2019,2 reviews,9.6,The Miami Motel has a very relaxing atmosphere It was definitely refreshing,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,I drew bath water because the bathtub was absolutely lovely and I was a little disappointed that the water wasnt hotter,0,Couple,Fall,5
Miami Motel,miami-motel.en-gb,28 October 2019,2 reviews,9.6,The Miami Motel has a very relaxing atmosphere It was definitely refreshing,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,I rarely take a bath but the tub was so inviting,0,Couple,Fall,5
Miami Motel,miami-motel.en-gb,28 October 2019,2 reviews,9.6,The Miami Motel has a very relaxing atmosphere It was definitely refreshing,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,It wasnt awful but it would have been nicer if it were hotter,0,Couple,Fall,-1
Miami Motel,miami-motel.en-gb,28 October 2019,2 reviews,9.6,The Miami Motel has a very relaxing atmosphere It was definitely refreshing,"['Leisure trip', 'Couple', 'Queen Room with Two Queen Beds', 'Stayed 1 night']",October 2019,My husband took a shower and said it was great,0,Couple,Fall,5
Miami Motel,miami-motel.en-gb,19 October 2019,10 reviews,8.8,Fabulous,"['Leisure trip', 'Couple', 'Queen Room', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Driveway hard to see in the dark,0,Couple,Fall,3
Miami Motel,miami-motel.en-gb,19 October 2019,10 reviews,8.8,Fabulous,"['Leisure trip', 'Couple', 'Queen Room', 'Stayed 2 nights', 'Submitted via mobile']",October 2019,Room set up for taller people than I,0,Couple,Fall,6
Miami Motel,miami-motel.en-gb,14 October 2019,8 reviews,9.2,A clean and comfortable room that is not a carbon copy of the chain hotels,"['Leisure trip', 'Couple', 'Queen Room', 'Stayed 1 night']",October 2019,The motel is located outside of the city center but it only takes five minutes to get to the downtown area,0,Couple,Fall,4
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,1 January 2020,1 review,10.0,Great staff,"['Leisure trip', 'Couple', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",January 2020,Views from room,0,Couple,Winter,6
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,31 December 2019,12 reviews,9.6,Date Night ,"['Leisure trip', 'Couple', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",December 2019,Nothing I didnt like,0,Couple,Winter,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,11 November 2019,8 reviews,10.0,This was the perfect location everything was 5 minutes away The facility was clean quiet and rela,"['Leisure trip', 'Family with young children', 'One-Bedroom King Suite - Non-Smoking', 'Stayed 3 nights']",November 2019,the only downside was the fire pit was not lit on any of the nights that we were there no biggy,0,Family with young children,Fall,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,30 October 2019,1 review,10.0,Exceptional,"['Leisure trip', 'Family with young children', 'Queen Suite with Two Queen Beds - Non-Smoking', 'Stayed 3 nights', 'Submitted via mobile']",October 2019,We never received our 120 reimbursement check for incidentals as promised by the front desk,0,Family with young children,Fall,1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,16 October 2019,5 reviews,9.6,Exceptional,"['Business trip', 'Solo traveller', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",October 2019,Vegetarian food needed not enough choice for nonmeat eaters,0,Solo traveler,Fall,2
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,21 September 2019,1 review,10.0,Excellent choice for a Saratoga stay,"['Leisure trip', 'Group', 'Queen Suite - Hearing Access/Non-Smoking', 'Stayed 2 nights', 'Submitted via mobile']",ptember 2019,The food was not up to last years standards,0,Group,Fall,2
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,17 September 2019,1 review,9.6,This is where i will stay at our next visit to Saratoga Springs,"['Leisure trip', 'Couple', 'One-Bedroom King Suite - Non-Smoking', 'Stayed 3 nights']",ptember 2019,Nothing they addressed having more trash receptacles outside the building,0,Couple,Fall,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,9 August 2019,2 reviews,9.6,fabulous,"['Leisure trip', 'Couple', 'One-Bedroom King Suite - Non-Smoking', 'Stayed 2 nights']",July 2019,little pricey 588night,0,Couple,Summer,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,27 October 2018,2 reviews,9.6,Exceptional,"['Leisure trip', 'Couple', 'Queen Suite - Hearing Access/Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",October 2018,Nothing at all,0,Couple,Fall,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,22 October 2018,2 reviews,10.0,It was fantastic,"['Leisure trip', 'Couple', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",October 2018,Nothing,0,Couple,Fall,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,14 October 2018,1 review,9.6,GREAT,"['Leisure trip', 'Family with young children', 'Queen Suite - Hearing Access/Non-Smoking', 'Stayed 1 night']",October 2018,Better pillows,0,Family with young children,Fall,7
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,10 October 2018,5 reviews,10.0,Excellent,"['Leisure trip', 'Couple', 'King Studio Suite - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",October 2018,No dislikes ,0,Couple,Fall,-1
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,21 August 2018,1 review,8.8,Fabulous,"['Leisure trip', 'Family with young children', 'Queen Suite with Two Queen Beds - Non-Smoking', 'Stayed 1 night', 'Submitted via mobile']",August 2018,Room cd had been a little fresher regarding smell,0,Family with young children,Summer,0
