unique_id,hotel_name,hotel_url,review_date,review_item_user_review_count,review_score_badge,review_item_header_content,review_info_tag,review_staydate,review_neg_sentence,review_topic_annotated
0,Adelphi Hotel,adelphi.en-gb,18 March 2020,8 reviews,9.0,Amazing stay in Saratoga!,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",March 2020,Valet was not the friendliest person working for the property.,1
1,Adelphi Hotel,adelphi.en-gb,17 February 2020,25 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 2 nights']",February 2020,Wish there was free parking and a parking lot for your car.,3
2,Adelphi Hotel,adelphi.en-gb,11 February 2020,8 reviews,10.0,"Immaculate. comfortable, charming, and welcoming!","['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night']",December 2019,Parking was a bit of a hassle.,3
3,Adelphi Hotel,adelphi.en-gb,11 February 2020,8 reviews,10.0,"Immaculate. comfortable, charming, and welcoming!","['Leisure trip', 'Family with young children', 'Premier King Room', 'Stayed 1 night']",December 2019,Valet.,3
4,Adelphi Hotel,adelphi.en-gb,18 November 2019,6 reviews,10.0,Exceptional,"['Leisure trip', 'Couple', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",November 2019,Nothing,-1
7,Adelphi Hotel,adelphi.en-gb,24 October 2019,4 reviews,8.8,Fabulous,"['Leisure trip', 'Solo traveller', 'Premier King Room', 'Stayed 1 night', 'Submitted via mobile']",October 2019,Staff is not really nice,1
9,Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish.,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,"The view was definitely lacking, but I wasn't too upset about that.",4
10,Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish.,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,"My breakfast wasn't great, to be honest.",2
11,Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish.,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,"I ordered the Adelphi omelet, and it had a weird taste to it that didn't sit well on my stomach.",2
12,Adelphi Hotel,adelphi.en-gb,18 September 2019,2 reviews,9.6,Sumptuous from start to finish.,"['Leisure trip', 'Couple', 'Premier Suite', 'Stayed 1 night']",ptember 2019,I wasn't able to finish it.,-1
13,Adelphi Hotel,adelphi.en-gb,13 September 2019,7 reviews,10.0,Delightful,"['Leisure trip', 'Couple', 'Premier Broadway King', 'Stayed 1 night', 'Submitted via mobile']",ptember 2019,Na,-1
14,Adelphi Hotel,adelphi.en-gb,27 August 2019,1 review,9.6,Pleasant,"['Leisure trip', 'Family with young children', 'Premier Suite', 'Stayed 1 night', 'Submitted via mobile']",August 2019,N/a,-1
