hotel_name,hotel_url
Adelphi Hotel,/hotel/us/adelphi.en-gb
Miami Motel,/hotel/us/miami-motel.en-gb
Homewood Suites By Hilton Saratoga Springs,/hotel/us/homewood-suites-by-hilton-saratoga-springs.en-gb
Aqualina Inn Montauk,/hotel/us/aqualina-inn-montauk.en-gb
Watkins Glen Harbor Hotel,/hotel/us/watkins-glen-harbor.en-gb
The Whitby Hotel,/hotel/us/the-whitby.en-gb
The Roxbury,/hotel/us/the-roxbury-roxbury.en-gb
Homewood Suites By Hilton Clifton Park,/hotel/us/homewood-suites-by-hilton-clifton-park.en-gb
1000 Islands Harbor Hotel,/hotel/us/1000-islands-harbor.en-gb
Embassy Suites Saratoga Springs,/hotel/us/embassy-suites-saratoga-springs.en-gb
Hampton Inn & Suites Syracuse North Airport Area,/hotel/us/ramada-syracuse.en-gb
Blue Moon Motel,/hotel/us/blue-moon-motel.en-gb
Salvatores Grand Hotel,/hotel/us/salvatores-grand.en-gb
"Pine Knoll Lodge & Cabins, Inc.",/hotel/us/pine-knoll-lodge-and-cabins-inc.en-gb
Pavilion Grand Hotel,/hotel/us/pavilion-grand.en-gb
Sara Glen Motel,/hotel/us/sara-glen-motel.en-gb
Crosby Street Hotel,/hotel/us/crosby-street.en-gb
Hilton Garden Inn Corning Downtown,/hotel/us/hilton-garden-inn-corning-downtown.en-gb
Casablanca Hotel by Library Hotel Collection,/hotel/us/casablanca.en-gb
Homewood Suites By Hilton Poughkeepsie,/hotel/us/homewood-suites-by-hilton-poughkeepsie.en-gb
Chautauqua Harbor Hotel - Jamestown,/hotel/us/chautauqua-harbor.en-gb
"Hampton Inn Penn Yan, NY",/hotel/us/hampton-inn-penn-yan-ny.en-gb
Apple Inn and Suites Cooperstown Area,/hotel/us/apple-inn-and-suites.en-gb
The Ocean Resort Inn,/hotel/us/montauk-95-south-emerson-avenue.en-gb
SpringHill Suites by Marriott Fishkill,/hotel/us/springhill-suites-by-marriott-fishkill.en-gb
Courtyard by Marriott Lake George,/hotel/us/lake-george.en-gb
The Craftsman Inn & Suites,/hotel/us/the-craftsman-inn-fayetteville.en-gb
Sleep Inn & Suites East Syracuse,/hotel/us/sleep-inn-suites-east-syracuse.en-gb
"Hampton Inn by Hilton New Paltz, NY",/hotel/us/hampton-inn-by-hilton-new-paltz-ny.en-gb
Comfort Inn & Suites Schenectady - Scotia,/hotel/us/comfort-inn-suites-schenectady.en-gb
Holiday Inn Express - Oneonta,/hotel/us/holiday-inn-express-oneonta.en-gb
Merrion Row Hotel and Public House,/hotel/us/merrion-row-and-public-house.en-gb
Artezen Hotel,/hotel/us/artezen.en-gb
Fairfield Inn & Suites by Marriott Geneva Finger Lakes,/hotel/us/fairfield-inn-suites-by-marriott-geneva-finger-lakes.en-gb
Savannah House Wine Country Inn & Cottages,/hotel/us/savannah-house-wine-country-inn-and-cottages.en-gb
Residence Inn by Marriott Fishkill,/hotel/us/residence-inn-by-marriott-fishkill.en-gb
Residence Inn by Marriott The Bronx at Metro Center Atrium,/hotel/us/residence-inn-by-marriott-the-bronx-at-metro-centrum-atrium.en-gb
Fairfield Inn & Suites by Marriott Syracuse Carrier Circle,/hotel/us/fairfield-inn-suites-by-marriott-syracuse-carrier-circle.en-gb
The Lodges at Cresthaven,/hotel/us/cresthaven-3210-lake-shore-drive.en-gb
Golden Arrow Lakeside Resort,/hotel/us/golden-arrow-lakeside-resort.en-gb
Hotel Giraffe by Library Hotel Collection,/hotel/us/giraffe.en-gb
Comfort Suites Fishkill near Interstate 84,/hotel/us/comfort-suites-fishkill.en-gb
Adirondack Spruce Lodge,/hotel/us/adirondack-spruce-lodge.en-gb
Hampton Inn Hamburg,/hotel/us/hampton-inn-hamburg.en-gb
Hartman's Briney Breezes Beach Resort,/hotel/us/montauk-693-old-montauk-highway.en-gb
The Harborfront Inn,/hotel/us/the-harborfront-inn.en-gb
"Hampton Inn Albany-Western Ave/University Area, NY",/hotel/us/holiday-inn-express-albany2.en-gb
The Lodge at Headwaters,/hotel/us/the-lodge-at-headwaters.en-gb
Sleep Inn & Suites Monroe - Woodbury,/hotel/us/sleep-inn-suites-monroe-woodbury.en-gb
"Reikart House Buffalo, a Tribute Portfolio Hotel",/hotel/us/reikart-house-buffalo.en-gb
Town House Lodge,/hotel/us/town-house-lodge.en-gb
Home2 Suites By Hilton Queensbury Glens Falls,/hotel/us/home2-suites-by-hilton-queensbury-glens-falls.en-gb
Tru by Hilton Syracuse North Airport Area,/hotel/us/hampton-inn-syracuse-north.en-gb
Garden City Hotel,/hotel/us/garden-city-llc.en-gb
Ithaca Marriott Downtown on the Commons,/hotel/us/ithaca-marriott-downtown-on-the-commons.en-gb
Holiday Inn Express & Suites Kingston-Ulster,/hotel/us/holiday-inn-express-suites-kingston-ulster.en-gb
The Whiteface Lodge,/hotel/us/the-whiteface-lodge.en-gb
Library Hotel by Library Hotel Collection,/hotel/us/library.en-gb
"Hampton Inn & Suites Cazenovia, NY",/hotel/us/hampton-inn-suites-cazenovia-ny.en-gb
Hampton Inn Geneseo,/hotel/us/hampton-inn-geneseo.en-gb
Hampton Inn & Suites Lake Placid,/hotel/us/hampton-inn-amp-suites-lakes-placid.en-gb
The Duncan Inn,/hotel/us/the-duncan-inn.en-gb
The Greenwich Hotel,/hotel/us/the-greenwich.en-gb
Mirror Lake Inn Resort and Spa,/hotel/us/mirror-lake-inn-resort-and-spa.en-gb
Skaneateles Suites Boutique Hotel,/hotel/us/skaneateles-suites-amp-boutique.en-gb
citizenM New York Bowery,/hotel/us/citizenm-new-york-bowery.en-gb
Cambria Hotel White Plains - Downtown,/hotel/us/cambria-suites-white-plains-downtown.en-gb
Amsterdam Castle,/hotel/us/amsterdam-castle.en-gb
The Preston House and Hotel,/hotel/us/the-preston-house-and.en-gb
citizenM New York Times Square,/hotel/us/citizenm-new-york-times-square-new-york.en-gb
Americas Best Value Inn & Suites Lake George,/hotel/us/america-s-best-value-inn-lake-george.en-gb
Microtel Inn & Suites by Wyndham Binghamton,/hotel/us/microtel-inn-suites-by-binghamton.en-gb
Park Terrace Hotel on Bryant Park,/hotel/us/park-terrace.en-gb
The Sherry Netherland,/hotel/us/the-sherry-netherland.en-gb
Conrad New York Downtown,/hotel/us/e-suites-new-york-new-york-new-york.en-gb
Four Seasons Hotel New York Downtown,/hotel/us/four-seasons-new-york-downtown.en-gb
Harbor House Inn,/hotel/us/harbor-house-inn-sackets-harbor.en-gb
Rock Ledge Motel,/hotel/us/rock-ledge-motel-alexandria-bay.en-gb
NobleDEN Hotel,/hotel/us/nobleden.en-gb
Tru By Hilton Syracuse-Camillus,/hotel/us/tru-by-hilton-syracuse-camillus.en-gb
Stagecoach Inn,/hotel/us/stagecoach-inn-goshen.en-gb
The Otesaga Resort Hotel,/hotel/us/the-otesaga-resort.en-gb
Best Western PLUS Vineyard Inn and Suites,/hotel/us/best-western-plus-vineyard-and-suites.en-gb
Holiday Inn Express Queensbury-Lake George Area,/hotel/us/holiday-inn-express-queensbury-lake-george-area.en-gb
Saratoga Casino Hotel,/hotel/us/saratoga-casino.en-gb
LUMA Hotel - Times Square,/hotel/us/luma-times-square.en-gb
Hampton Inn & Suites Rochester/Henrietta,/hotel/us/hampton-inn-amp-suites-rochester-henrietta.en-gb
Wyndham Garden Buffalo/Williamsville,/hotel/us/wyndham-garden-williamsville-buffalo.en-gb
Staybridge Suites Albany Wolf Rd-Colonie Center,/hotel/us/staybridge-suites-albany-wolf-rd-colonie-center.en-gb
"Hampton Inn Rochester Penfield, Ny",/hotel/us/hampton-inn-rochester-penfield-ny.en-gb
"The Langham, New York, Fifth Avenue",/hotel/us/langham-new-york-fifth-avenue.en-gb
Hampton Inn Elmira/Horseheads,/hotel/us/hampton-inn-elmira-horseheads-ny.en-gb
The Mark New York,/hotel/us/the-mark.en-gb
The Ludlow Hotel,/hotel/us/the-ludlow.en-gb
Baccarat Hotel and Residences New York,/hotel/us/baccarat-and-residences-new-york.en-gb
Henry Norman Hotel,/hotel/us/the-henry-norman.en-gb
"YO1 Wellness Resort and Spa Catskills, NY",/hotel/us/yo1-wellness-center-monticello.en-gb
The Railroad Inn,/hotel/us/the-railroad-inn.en-gb
"Hyatt Place Buffalo / Amherst, NY",/hotel/us/hyattplace.en-gb
Home2 Suites By Hilton Oswego,/hotel/us/home2-suites-by-hilton-oswego.en-gb
Residence Inn by Marriott Buffalo Downtown,/hotel/us/residence-inn-by-marriott-buffalo-downtown.en-gb
Argos Inn - Ithaca's Boutique Hotel,/hotel/us/argos-inn.en-gb
Hampton Inn Potsdam,/hotel/us/hampton-inn-potsdam.en-gb
Hampton Inn and Suites New Hartford/Utica,/hotel/us/hampton-inn-and-suites-new-hartford-utica-ny.en-gb
"Hampton Inn & Suites Albany-East Greenbush, NY",/hotel/us/hampton-inn-suites-albany-east-greenbush-ny.en-gb
Courtyard by Marriott Buffalo Downtown/Canalside,/hotel/us/courtyard-by-marriott-buffalo-downtown-canalside.en-gb
414 Hotel,/hotel/us/414.en-gb
The Statler Hotel at Cornell University,/hotel/us/the-statler-at-cornell-university.en-gb
Woodstock Way Hotel,/hotel/us/woodstock-way.en-gb
Hotel at Batavia Downs,/hotel/us/at-batavia-downs.en-gb
