hotel_name,hotel_url,hotel_stars,hotel_address,hotel_overall_rating,hotel_rating_breakdown,hotel_room_name,hotel_room_capacity,hotel_room_price
Adelphi Hotel,adelphi.en-gb,4-star hotel,"365 Broadway, Saratoga Springs, NY 12866, United States",9.8,"[['Cleanliness', '10.0'], ['Comfort', '10.0'], ['Location', '9.9'], ['Facilities', '10.0'], ['Staff', '9.6'], ['Value for money', '9.4'], ['Free WiFi', '10.0']]",Premier King Room,Max persons: 2,US$199
Miami Motel,miami-motel.en-gb,,"4126 U.S. 20, Canandaigua, NY 14424, United States",9.6,"[['Cleanliness', '9.9'], ['Comfort', '9.7'], ['Location', '9.4'], ['Facilities', '9.5'], ['Staff', '9.9'], ['Value for money', '9.7'], ['Free WiFi', '9.6']]",,,
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,3-star hotel,"3368 South Broadway   , Saratoga Springs, NY 12866, United States",9.6,"[['Cleanliness', '9.8'], ['Comfort', '9.8'], ['Location', '9.4'], ['Facilities', '9.8'], ['Staff', '9.7'], ['Value for money', '9.3'], ['Free WiFi', '8.9']]",One-Bedroom King Suite with Balcony - Non-Smoking,Max persons: 3,US$163
Aqualina Inn Montauk,aqualina-inn-montauk.en-gb,3 stars,"20 S Elmwood Avenue, Montauk, NY 11954, United States",9.5,"[['Cleanliness', '9.8'], ['Comfort', '9.6'], ['Location', '9.7'], ['Facilities', '9.5'], ['Staff', '9.7'], ['Value for money', '9.0'], ['Free WiFi', '9.8']]",,,
Watkins Glen Harbor Hotel,watkins-glen-harbor.en-gb,3-star hotel,"16 N. Franklin St., Watkins Glen, NY 14891, United States",9.5,"[['Cleanliness', '9.8'], ['Comfort', '9.8'], ['Location', '9.7'], ['Facilities', '9.6'], ['Staff', '9.6'], ['Value for money', '8.8'], ['Free WiFi', '9.0']]",King Room with Village View,Max persons: 2,US$139
The Whitby Hotel,the-whitby.en-gb,5-star hotel,"18 West 56th Street, New York, NY 10019, United States",9.5,"[['Cleanliness', '9.9'], ['Comfort', '9.8'], ['Location', '9.6'], ['Facilities', '9.6'], ['Staff', '9.7'], ['Value for money', '8.4'], ['Free WiFi', '9.3']]",Superior Room,Max persons: 2,US$920
The Roxbury,the-roxbury-roxbury.en-gb,5-star hotel,"2258 County Highway 41, Roxbury, NY 12474, United States",9.5,"[['Cleanliness', '9.8'], ['Comfort', '9.7'], ['Location', '9.0'], ['Facilities', '9.6'], ['Staff', '9.7'], ['Value for money', '9.4'], ['Free WiFi', '9.7']]",Standard Studio,Max persons: 2,US$90
Homewood Suites By Hilton Clifton Park,homewood-suites-by-hilton-clifton-park.en-gb,3-star hotel,"42 Clifton Country Road   , Clifton Park, NY 12065, United States",9.6,"[['Cleanliness', '9.8'], ['Comfort', '9.7'], ['Location', '9.6'], ['Facilities', '9.7'], ['Staff', '9.8'], ['Value for money', '9.4'], ['Free WiFi', '9.2']]",King Studio Suite - Non-Smoking,Max persons: 4,US$136
1000 Islands Harbor Hotel,1000-islands-harbor.en-gb,4-star hotel,"200 Riverside Drive, Clayton, NY 13624, United States",9.5,"[['Cleanliness', '9.6'], ['Comfort', '9.6'], ['Location', '9.8'], ['Facilities', '9.5'], ['Staff', '9.4'], ['Value for money', '8.8'], ['Free WiFi', '9.4']]",King Sofa Village View,Max persons: 2,US$119
Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,4-star hotel,"86 Congress St   , Saratoga Springs, NY 12866, United States",9.4,"[['Cleanliness', '9.6'], ['Comfort', '9.6'], ['Location', '9.6'], ['Facilities', '9.5'], ['Staff', '9.5'], ['Value for money', '9.2'], ['Free WiFi', '8.9']]",King Studio Suite,Max persons: 2,US$159
Hampton Inn & Suites Syracuse North Airport Area,ramada-syracuse.en-gb,3-star hotel,"1305 Buckley Road   , North Syracuse, NY 13212, United States",9.6,"[['Cleanliness', '9.7'], ['Comfort', '9.8'], ['Location', '9.6'], ['Facilities', '9.7'], ['Staff', '9.7'], ['Value for money', '9.5']]",King Room - Non-Smoking,Max persons: 2,US$118
Blue Moon Motel,blue-moon-motel.en-gb,2 stars,"495 Canada Street, Lake George, NY 12845, United States",9.5,"[['Cleanliness', '9.7'], ['Comfort', '9.3'], ['Location', '9.3'], ['Facilities', '9.2'], ['Staff', '9.8'], ['Value for money', '9.4'], ['Free WiFi', '9.6']]",,,
Salvatores Grand Hotel,salvatores-grand.en-gb,3-star hotel,"6675 Transit, Williamsville, NY 14221, United States",9.4,"[['Cleanliness', '9.6'], ['Comfort', '9.5'], ['Location', '9.4'], ['Facilities', '9.5'], ['Staff', '9.4'], ['Value for money', '9.1'], ['Free WiFi', '8.3']]",King Room,Max persons: 2,US$99
"Pine Knoll Lodge & Cabins, Inc.",pine-knoll-lodge-and-cabins-inc.en-gb,3 stars,"123 South Shore Road PO Box 1130, Old Forge, NY 13420, United States",9.5,"[['Cleanliness', '9.7'], ['Comfort', '9.5'], ['Location', '9.8'], ['Facilities', '9.4'], ['Staff', '9.7'], ['Value for money', '9.0'], ['Free WiFi', '7.5']]",,,
