hotel_name,hotel_url,hotel_stars,hotel_address,hotel_overall_rating,hotel_rating_breakdown,hotel_room_name,hotel_room_capacity,hotel_room_price,hotel_address_zip_code_5dig,hotel_room_price_2,hotel_room_name_2,hotel_room_capacity_2,hotel_room_price_3,hotel_room_name_3,hotel_room_capacity_3,hotel_room_price_per_person,hotel_room_price_per_person_2,hotel_room_price_per_person_3,hotel_room_price_per_person_avg,hotel_cleanliness_rating,hotel_comfort_rating,hotel_location_rating,hotel_facilities_rating,hotel_staff_rating,hotel_value_rating,hotel_wifi_rating,hotel_room_price_per_person_avg_grouped_mean,hotel_room_price_per_person_avg_grouped_std,hotel_room_price_per_person_pc_change,-1_neg,0_neg,1_neg,2_neg,3_neg,4_neg,5_neg,6_neg,7_neg,sentences_count_neg,-1_pc_neg,0_pc_neg,1_pc_neg,2_pc_neg,3_pc_neg,4_pc_neg,5_pc_neg,6_pc_neg,7_pc_neg,hotel_unique_name
Adelphi Hotel,adelphi.en-gb,4.0,"365 Broadway, Saratoga Springs, NY 12866, United States",9.8,"[['Cleanliness', '10.0'], ['Comfort', '10.0'], ['Location', '9.9'], ['Facilities', '10.0'], ['Staff', '9.6'], ['Value for money', '9.4'], ['Free WiFi', '10.0']]",Premier King Room,2.0,199.0,12866,235.0,Premier King Room,2.0,199.0,Premier King Room,2.0,99.5,117.5,99.5,105.5,10.0,10.0,9.9,10.0,9.6,9.4,10.0,91.25,12.740646532812772,0.13507109004739337,11.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,22,0.5,0.0,13.636363636363635,9.090909090909092,9.090909090909092,4.545454545454546,0.0,9.090909090909092,4.545454545454546,Adelphi Hotel (12866)
Homewood Suites By Hilton Saratoga Springs,homewood-suites-by-hilton-saratoga-springs.en-gb,3.0,"3368 South Broadway   , Saratoga Springs, NY 12866, United States",9.6,"[['Cleanliness', '9.8'], ['Comfort', '9.8'], ['Location', '9.4'], ['Facilities', '9.8'], ['Staff', '9.7'], ['Value for money', '9.3'], ['Free WiFi', '8.9']]",One-Bedroom King Suite with Balcony - Non-Smoking,3.0,163.0,12866,194.0,One-Bedroom King Suite with Balcony - Non-Smoking,3.0,163.0,One-Bedroom King Suite with Balcony - Non-Smoking,3.0,54.333333333333336,64.66666666666667,54.333333333333336,57.77777777777778,9.8,9.8,9.4,9.8,9.7,9.3,8.9,63.744444444444454,19.108484154078436,-0.10326923076923092,19.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,33,0.5757575757575758,3.0303030303030307,3.0303030303030307,3.0303030303030307,6.060606060606061,6.060606060606061,12.121212121212123,6.060606060606061,3.0303030303030307,Homewood Suites By Hilton Saratoga Springs (12866)
The Whitby Hotel,the-whitby.en-gb,5.0,"18 West 56th Street, New York, NY 10019, United States",9.5,"[['Cleanliness', '9.9'], ['Comfort', '9.8'], ['Location', '9.6'], ['Facilities', '9.6'], ['Staff', '9.7'], ['Value for money', '8.4'], ['Free WiFi', '9.3']]",Luxury Room,2.0,1095.0,10019,795.0,Superior Room,2.0,920.0,Superior Room,2.0,547.5,397.5,460.0,468.3333333333333,9.9,9.8,9.6,9.6,9.7,8.4,9.3,355.88888888888886,103.71228800449622,0.2400948991696323,27.0,0.0,2.0,0.0,2.0,4.0,2.0,6.0,1.0,44,0.6136363636363636,0.0,4.545454545454546,0.0,4.545454545454546,9.090909090909092,4.545454545454546,13.636363636363635,2.272727272727273,The Whitby Hotel (10019)
Embassy Suites Saratoga Springs,embassy-suites-saratoga-springs.en-gb,4.0,"86 Congress St   , Saratoga Springs, NY 12866, United States",9.5,"[['Cleanliness', '9.6'], ['Comfort', '9.6'], ['Location', '9.6'], ['Facilities', '9.6'], ['Staff', '9.5'], ['Value for money', '9.2'], ['Free WiFi', '8.9']]",King Studio Suite,2.0,189.0,12866,209.0,King Studio Suite,2.0,159.0,King Studio Suite,2.0,94.5,104.5,79.5,92.83333333333333,9.6,9.6,9.6,9.6,9.5,9.2,8.9,91.25,12.740646532812772,0.017055655296229752,23.0,1.0,0.0,2.0,8.0,3.0,2.0,5.0,6.0,50,0.46,2.0,0.0,4.0,16.0,6.0,4.0,10.0,12.0,Embassy Suites Saratoga Springs (12866)
Hampton Inn & Suites Syracuse North Airport Area,ramada-syracuse.en-gb,3.0,"1305 Buckley Road   , North Syracuse, NY 13212, United States",9.6,"[['Cleanliness', '9.7'], ['Comfort', '9.8'], ['Location', '9.6'], ['Facilities', '9.7'], ['Staff', '9.7'], ['Value for money', '9.5']]",King Room - Non-Smoking,2.0,118.0,13212,118.0,King Room - Non-Smoking,2.0,118.0,King Room - Non-Smoking,2.0,59.0,59.0,59.0,59.0,9.7,9.8,9.6,9.7,9.7,9.5,8.3,51.0,11.313708498984761,0.13559322033898305,11.0,2.0,1.0,0.0,5.0,1.0,4.0,1.0,1.0,26,0.4230769230769231,7.6923076923076925,3.8461538461538463,0.0,19.230769230769234,3.8461538461538463,15.384615384615385,3.8461538461538463,3.8461538461538463,Hampton Inn & Suites Syracuse North Airport Area (13212)
Salvatores Grand Hotel,salvatores-grand.en-gb,3.0,"6675 Transit, Williamsville, NY 14221, United States",9.4,"[['Cleanliness', '9.6'], ['Comfort', '9.5'], ['Location', '9.4'], ['Facilities', '9.5'], ['Staff', '9.4'], ['Value for money', '9.1'], ['Free WiFi', '8.5']]",King Room,2.0,99.0,14221,109.0,King Room,2.0,99.0,King Room,2.0,49.5,54.5,49.5,51.166666666666664,9.6,9.5,9.4,9.5,9.4,9.1,8.5,50.28819444444444,16.744987519631895,0.017168838219326805,42.0,2.0,4.0,1.0,2.0,2.0,5.0,4.0,5.0,67,0.6268656716417911,2.985074626865672,5.970149253731343,1.492537313432836,2.985074626865672,2.985074626865672,7.462686567164177,5.970149253731343,7.462686567164177,Salvatores Grand Hotel (14221)
Pavilion Grand Hotel,pavilion-grand.en-gb,4.0,"30 Lake Avenue, Saratoga Springs, NY 12866, United States",9.4,"[['Cleanliness', '9.5'], ['Comfort', '9.6'], ['Location', '9.7'], ['Facilities', '9.5'], ['Staff', '9.6'], ['Value for money', '9.1'], ['Free WiFi', '9.2']]",Traditional King Bedroom,2.0,189.0,12866,209.0,King Studio Suite,2.0,155.0,Traditional King Bedroom,2.0,94.5,104.5,77.5,92.16666666666667,9.5,9.6,9.7,9.5,9.6,9.1,9.2,91.25,12.740646532812772,0.009945750452079617,21.0,0.0,1.0,1.0,11.0,4.0,1.0,3.0,6.0,48,0.4375,0.0,2.083333333333333,2.083333333333333,22.916666666666664,8.333333333333332,2.083333333333333,6.25,12.5,Pavilion Grand Hotel (12866)
Sara Glen Motel,sara-glen-motel.en-gb,3.0,"1518 Route 9, Moreau, NY 12828, Glens Falls, NY 12828, United States",9.5,"[['Cleanliness', '9.7'], ['Comfort', '9.6'], ['Location', '9.2'], ['Facilities', '9.3'], ['Staff', '9.9'], ['Value for money', '9.5'], ['Free WiFi', '10.0']]",Standard Double Room with Two Double Beds,2.0,80.0,12828,85.0,Standard Double Room with Two Double Beds,2.0,70.0,Standard Double Room with Two Double Beds,2.0,40.0,42.5,35.0,39.166666666666664,9.7,9.6,9.2,9.3,9.9,9.5,10.0,41.58333333333333,3.4176827757349817,-0.06170212765957441,13.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,20,0.65,5.0,5.0,0.0,0.0,0.0,10.0,5.0,10.0,Sara Glen Motel (12828)
Crosby Street Hotel,crosby-street.en-gb,5.0,"79 Crosby Street, SoHo, New York, NY 10012, United States",9.5,"[['Cleanliness', '9.9'], ['Comfort', '9.8'], ['Location', '9.7'], ['Facilities', '9.6'], ['Staff', '9.7'], ['Value for money', '8.2'], ['Free WiFi', '9.5']]",Superior King Room,2.0,890.0,10012,950.0,Superior King Room,2.0,850.0,Superior King Room,2.0,445.0,475.0,425.0,448.3333333333333,9.9,9.8,9.7,9.6,9.7,8.2,9.5,327.49999999999994,128.98912529529164,0.2695167286245354,11.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,22,0.5,9.090909090909092,0.0,0.0,13.636363636363635,9.090909090909092,0.0,13.636363636363635,4.545454545454546,Crosby Street Hotel (10012)
Hilton Garden Inn Corning Downtown,hilton-garden-inn-corning-downtown.en-gb,3.0,"23 Riverside Drive   , Corning, NY 14830, United States",9.4,"[['Cleanliness', '9.7'], ['Comfort', '9.5'], ['Location', '9.6'], ['Facilities', '9.4'], ['Staff', '9.4'], ['Value for money', '9.0'], ['Free WiFi', '9.6']]",King Room,2.0,159.0,14830,159.0,King Room,2.0,129.0,King Room,2.0,79.5,79.5,64.5,74.5,9.7,9.5,9.6,9.4,9.4,9.0,9.6,60.02777777777778,18.409857128890838,0.1942580164056674,25.0,2.0,4.0,8.0,5.0,1.0,6.0,7.0,8.0,66,0.3787878787878788,3.0303030303030307,6.060606060606061,12.121212121212123,7.575757575757576,1.5151515151515154,9.090909090909092,10.606060606060606,12.121212121212123,Hilton Garden Inn Corning Downtown (14830)
