hotel_url,-1,0,1,2,3,4,5,6,7,sentences_count,-1_pc,0_pc,1_pc,2_pc,3_pc,4_pc,5_pc,6_pc,7_pc
-long-island-islip-courthouse-complex.en-gb,25.0,1.0,1.0,5.0,2.0,0.0,6.0,4.0,3.0,47,0.5319148936170213,0.02127659574468085,0.02127659574468085,0.10638297872340426,0.0425531914893617,0.0,0.1276595744680851,0.0851063829787234,0.06382978723404255
1-brooklyn-bridge.en-gb,63.0,5.0,10.0,6.0,16.0,2.0,10.0,19.0,1.0,132,0.4772727272727273,0.03787878787878788,0.07575757575757576,0.045454545454545456,0.12121212121212122,0.015151515151515152,0.07575757575757576,0.14393939393939395,0.007575757575757576
1-hotel-central-park.en-gb,57.0,0.0,6.0,5.0,13.0,6.0,11.0,30.0,6.0,134,0.4253731343283582,0.0,0.04477611940298507,0.03731343283582089,0.09701492537313433,0.04477611940298507,0.08208955223880597,0.22388059701492538,0.04477611940298507
1000-islands-harbor.en-gb,31.0,3.0,3.0,3.0,12.0,4.0,5.0,18.0,3.0,82,0.3780487804878049,0.036585365853658534,0.036585365853658534,0.036585365853658534,0.14634146341463414,0.04878048780487805,0.06097560975609756,0.21951219512195122,0.036585365853658534
11-howard.en-gb,56.0,6.0,13.0,0.0,14.0,6.0,7.0,33.0,10.0,145,0.38620689655172413,0.041379310344827586,0.0896551724137931,0.0,0.09655172413793103,0.041379310344827586,0.04827586206896552,0.22758620689655173,0.06896551724137931
120-east-39th.en-gb,30.0,6.0,6.0,5.0,12.0,5.0,13.0,24.0,8.0,109,0.27522935779816515,0.05504587155963303,0.05504587155963303,0.045871559633027525,0.11009174311926606,0.045871559633027525,0.11926605504587157,0.22018348623853212,0.07339449541284404
12866-11excelsior.en-gb,7.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,22,0.3181818181818182,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.22727272727272727
14026-bowmensville.en-gb,38.0,10.0,3.0,1.0,1.0,5.0,5.0,12.0,13.0,88,0.4318181818181818,0.11363636363636363,0.03409090909090909,0.011363636363636364,0.011363636363636364,0.056818181818181816,0.056818181818181816,0.13636363636363635,0.14772727272727273
17.en-gb,3.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,13,0.23076923076923078,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693
214.en-gb,23.0,6.0,2.0,4.0,8.0,8.0,2.0,16.0,10.0,79,0.2911392405063291,0.0759493670886076,0.02531645569620253,0.05063291139240506,0.10126582278481013,0.10126582278481013,0.02531645569620253,0.20253164556962025,0.12658227848101267
3-west-club.en-gb,20.0,5.0,3.0,15.0,6.0,1.0,5.0,10.0,1.0,66,0.30303030303030304,0.07575757575757576,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.015151515151515152,0.07575757575757576,0.15151515151515152,0.015151515151515152
309.en-gb,76.0,11.0,20.0,14.0,23.0,7.0,35.0,38.0,15.0,239,0.3179916317991632,0.04602510460251046,0.08368200836820083,0.058577405857740586,0.09623430962343096,0.029288702928870293,0.14644351464435146,0.1589958158995816,0.06276150627615062
31.en-gb,96.0,26.0,14.0,2.0,27.0,11.0,52.0,63.0,16.0,307,0.3127035830618892,0.08469055374592833,0.04560260586319218,0.006514657980456026,0.08794788273615635,0.035830618892508145,0.16938110749185667,0.20521172638436483,0.05211726384364821
32-32.en-gb,85.0,16.0,10.0,1.0,26.0,6.0,21.0,64.0,24.0,253,0.3359683794466403,0.06324110671936758,0.039525691699604744,0.003952569169960474,0.10276679841897234,0.023715415019762844,0.08300395256916997,0.25296442687747034,0.09486166007905138
360-west-30th-street.en-gb,24.0,6.0,3.0,2.0,3.0,1.0,15.0,6.0,7.0,67,0.3582089552238806,0.08955223880597014,0.04477611940298507,0.029850746268656716,0.04477611940298507,0.014925373134328358,0.22388059701492538,0.08955223880597014,0.1044776119402985
373.en-gb,34.0,2.0,8.0,1.0,10.0,12.0,2.0,43.0,11.0,123,0.2764227642276423,0.016260162601626018,0.06504065040650407,0.008130081300813009,0.08130081300813008,0.0975609756097561,0.016260162601626018,0.34959349593495936,0.08943089430894309
41-at-times-square.en-gb,89.0,31.0,16.0,3.0,33.0,5.0,22.0,89.0,25.0,313,0.28434504792332266,0.09904153354632587,0.051118210862619806,0.009584664536741214,0.10543130990415335,0.01597444089456869,0.07028753993610223,0.28434504792332266,0.07987220447284345
414.en-gb,23.0,2.0,1.0,5.0,9.0,3.0,4.0,9.0,1.0,57,0.40350877192982454,0.03508771929824561,0.017543859649122806,0.08771929824561403,0.15789473684210525,0.05263157894736842,0.07017543859649122,0.15789473684210525,0.017543859649122806
50-bowery.en-gb,153.0,9.0,20.0,19.0,43.0,49.0,28.0,59.0,15.0,395,0.38734177215189874,0.02278481012658228,0.05063291139240506,0.04810126582278481,0.10886075949367088,0.1240506329113924,0.07088607594936709,0.14936708860759493,0.0379746835443038
6-columbus-a-sixty-hotel.en-gb,36.0,10.0,4.0,1.0,21.0,5.0,6.0,25.0,4.0,112,0.32142857142857145,0.08928571428571429,0.03571428571428571,0.008928571428571428,0.1875,0.044642857142857144,0.05357142857142857,0.22321428571428573,0.03571428571428571
74-state-albany.en-gb,8.0,3.0,0.0,8.0,6.0,1.0,0.0,2.0,2.0,30,0.26666666666666666,0.1,0.0,0.26666666666666666,0.2,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667
77-brooklyn-ny.en-gb,9.0,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,28,0.32142857142857145,0.03571428571428571,0.0,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.17857142857142858
837.en-gb,37.0,3.0,3.0,1.0,2.0,5.0,8.0,24.0,9.0,92,0.40217391304347827,0.03260869565217391,0.03260869565217391,0.010869565217391304,0.021739130434782608,0.05434782608695652,0.08695652173913043,0.2608695652173913,0.09782608695652174
